group_id,event,ambiguousflag,track_id,filename,video,frame,datetime,tagid,mergethreshold,eventid,short_interruption,complex,comment,error,to_review,labelbee_valid
0,x,TRUE,6110,5second/track_06110_5s.png,5_02_R_190807150000.cfr.mp4,26401,22:31.3,0,5s,0__6110,,,end_on_ramp,TRUE,,TRUE
1,D,,15926,5second/track_15926_5s.png,30_02_R_190808150000.cfr.mp4,54501,45:27.4,10,5s,10__15926,,,,,,
2,U,,15368,5second/track_15368_5s.png,6_02_R_190807160000.cfr.mp4,60809,50:43.8,25,5s,25__15368,,,,,,
3,D,,10358,5second/track_10358_5s.png,29_02_R_190808140000.cfr.mp4,45460,37:53.6,33,5s,33__10358,,,,,,
4,D,,8103,5second/track_08103_5s.png,27_02_R_190808120000.cfr.mp4,30430,25:23.0,40,5s,40__8103,,,,,,
5,U,,4447,5second/track_04447_5s.png,2_02_R_190807120000.cfr.mp4,18897,15:51.1,83,5s,83__4447,,,,,,
6,D,,15240,5second/track_15240_5s.png,4_02_R_190807140000.cfr.mp4,71028,59:22.9,83,5s,83__15240,,,,,,
7,U,,9016,5second/track_09016_5s.png,5_02_R_190807150000.cfr.mp4,38120,31:46.9,83,5s,83__9016,,,,,,
8,D,,18201,5second/track_18201_5s.png,31_02_R_190808160000.cfr.mp4,40050,33:23.5,83,5s,83__18201,,,,,,
9,DU,,13174,5second/track_13174_5s.png,5_02_R_190807150000.cfr.mp4,57164,47:49.0,102,5s,102__13174_13194,,x,double u-turn,,,
10,DU,,13274,5second/track_13274_5s.png,5_02_R_190807150000.cfr.mp4,57552,48:04.7,102,5s,102__13274_13303,x,,interruption,,,
11,DU,,13521,5second/track_13521_5s.png,5_02_R_190807150000.cfr.mp4,58645,48:56.0,102,5s,102__13521,,,,,,
12,DU,,13735,5second/track_13735_5s.png,5_02_R_190807150000.cfr.mp4,60085,50:18.5,102,5s,102__13735,,,,,,
13,DU,,3790,5second/track_03790_5s.png,6_02_R_190807160000.cfr.mp4,16043,13:24.7,102,5s,102__3790,,,stay_at_entrance,,,TRUE
14,DU,,3814,5second/track_03814_5s.png,6_02_R_190807160000.cfr.mp4,16233,13:42.5,102,5s,102__3814,,,,,,
15,DU,,3902,5second/track_03902_5s.png,6_02_R_190807160000.cfr.mp4,16699,14:11.3,102,5s,102__3902,,,,,,
16,DU,,4012,5second/track_04012_5s.png,6_02_R_190807160000.cfr.mp4,17253,14:30.7,102,5s,102__4012,,,stay_at_entrance,,,
17,D,,4093,5second/track_04093_5s.png,6_02_R_190807160000.cfr.mp4,17598,14:50.0,102,5s,102__4093,,,,,,
