group_id,event,ambiguousflag,short_interruption,complex,error,comment,to_review,labelbee_valid,track_id,filename,video,datetime,tagid,mergethreshold,eventid,frame
0,D,,,,True,,,True,6110,5second/id_0000_track_06110_5s.png,5_02_R_190807150000.cfr.mp4,22:31.3,0,5s,0__6110,27026
1,D,,,,,,,True,15926,5second/id_0001_track_15926_5s.png,30_02_R_190808150000.cfr.mp4,45:27.4,10,5s,10__15926,54548
2,U,,,,,,,True,15368,5second/id_0002_track_15368_5s.png,6_02_R_190807160000.cfr.mp4,50:43.8,25,5s,25__15368,60876
3,D,,,,,,,True,10358,5second/id_0003_track_10358_5s.png,29_02_R_190808140000.cfr.mp4,37:53.6,33,5s,33__10358,45472
4,D,,,,,,,True,8103,5second/id_0004_track_08103_5s.png,27_02_R_190808120000.cfr.mp4,25:23.0,40,5s,40__8103,30460
5,U,,,,,,,True,4447,5second/id_0005_track_04447_5s.png,2_02_R_190807120000.cfr.mp4,15:51.1,83,5s,83__4447,19022
6,D,,,,,,,True,15240,5second/id_0006_track_15240_5s.png,4_02_R_190807140000.cfr.mp4,59:22.9,83,5s,83__15240,71258
7,U,,,,,,,True,9016,5second/id_0007_track_09016_5s.png,5_02_R_190807150000.cfr.mp4,31:46.9,83,5s,83__9016,38138
8,D,,,,,,,True,18201,5second/id_0008_track_18201_5s.png,31_02_R_190808160000.cfr.mp4,33:23.5,83,5s,83__18201,40070
9,DU,,,x,,,,True,13174,5second/id_0009_track_13174_5s.png,5_02_R_190807150000.cfr.mp4,47:49.0,102,5s,102__13174_13194,57380
10,DU,,x,,,,,True,13274,5second/id_0010_track_13274_5s.png,5_02_R_190807150000.cfr.mp4,48:04.7,102,5s,102__13274_13303,57694
11,DU,,,,,,,True,13521,5second/id_0011_track_13521_5s.png,5_02_R_190807150000.cfr.mp4,48:56.0,102,5s,102__13521,58720
12,DU,,,,,,,True,13735,5second/id_0012_track_13735_5s.png,5_02_R_190807150000.cfr.mp4,50:18.5,102,5s,102__13735,60370
13,DU,,,,,,,True,3790,5second/id_0013_track_03790_5s.png,6_02_R_190807160000.cfr.mp4,13:24.7,102,5s,102__3790,16094
14,DU,,,,,,,True,3814,5second/id_0014_track_03814_5s.png,6_02_R_190807160000.cfr.mp4,13:42.5,102,5s,102__3814,16450
15,DU,,,,,,,True,3902,5second/id_0015_track_03902_5s.png,6_02_R_190807160000.cfr.mp4,14:11.3,102,5s,102__3902,17026
16,DU,x,,,,,,True,4012,5second/id_0016_track_04012_5s.png,6_02_R_190807160000.cfr.mp4,14:30.7,102,5s,102__4012,17414
17,D,,,,,,,True,4093,5second/id_0017_track_04093_5s.png,6_02_R_190807160000.cfr.mp4,14:50.0,102,5s,102__4093,17800
18,U,,,,,,,True,4304,5second/id_0018_track_04304_5s.png,6_02_R_190807160000.cfr.mp4,15:25.0,102,5s,102__4304,18500
19,DU,x,,,,,correct until F19019,True,4439,5second/id_0019_track_04439_5s.png,6_02_R_190807160000.cfr.mp4,15:42.4,102,5s,102__4439,18848
20,DU,,,,,,small tracking imprecsion at start of T4526,True,4508,5second/id_0020_track_04508_5s.png,6_02_R_190807160000.cfr.mp4,15:51.0,102,5s,102__4508_4519,19020
21,DU,,x,,,,,True,4526,5second/id_0021_track_04526_5s.png,6_02_R_190807160000.cfr.mp4,16:09.7,102,5s,102__4526_4573,19394
22,D,,x,x,,no_tag_partial,last part of T6424 has no tag,True,6213,5second/id_0022_track_06213_5s.png,6_02_R_190807160000.cfr.mp4,23:06.1,102,5s,102__6213_6348,27722
23,U,,x,x,True,hesitation_on_ramp,,True,6407,5second/id_0023_track_06407_5s.png,6_02_R_190807160000.cfr.mp4,23:29.0,102,5s,102__6407_6424,28180
24,D,,,,,,,True,14602,5second/id_0024_track_14602_5s.png,28_02_R_190808130000.cfr.mp4,53:30.9,102,5s,102__14602,64218
25,U,,,,,,,True,14936,5second/id_0025_track_14936_5s.png,28_02_R_190808130000.cfr.mp4,53:43.5,102,5s,102__14936,64470
26,D,,,,,,,,14986,5second/id_0026_track_14986_5s.png,28_02_R_190808130000.cfr.mp4,54:20.8,102,5s,102__14986,65216
27,DU,,,,,,,,4994,5second/id_0027_track_04994_5s.png,31_02_R_190808160000.cfr.mp4,12:07.0,102,5s,102__4994,14540
28,DU,,,,,,,True,5403,5second/id_0028_track_05403_5s.png,31_02_R_190808160000.cfr.mp4,12:48.1,102,5s,102__5403,15362
29,D,,,,,,noisy_end_of_track,True,4718,5second/id_0029_track_04718_5s.png,27_02_R_190808120000.cfr.mp4,16:07.8,116,5s,116__4718,19356
30,D,,,,,,,True,9556,5second/id_0030_track_09556_5s.png,29_02_R_190808140000.cfr.mp4,34:55.9,116,5s,116__9556,41918
31,D,,,,,,,,9147,5second/id_0031_track_09147_5s.png,30_02_R_190808150000.cfr.mp4,27:21.8,116,5s,116__9147,32836
32,D,,,,True,,,True,15371,5second/id_0032_track_15371_5s.png,31_02_R_190808160000.cfr.mp4,27:43.1,121,5s,121__15371,33262
33,DU,,,,,,,,6024,5second/id_0033_track_06024_5s.png,2_02_R_190807120000.cfr.mp4,21:45.6,144,5s,144__6024,26112
34,DU,,,,,DU+DU,,,6177,5second/id_0034_track_06177_5s.png,2_02_R_190807120000.cfr.mp4,22:16.8,144,5s,144__6177,26736
35,DU,,x,x,,noise,,,16335,5second/id_0035_track_16335_5s.png,27_02_R_190808120000.cfr.mp4,52:10.5,144,5s,144__16335_16358,62610
36,DU,x,x,x,,,,,16437,5second/id_0036_track_16437_5s.png,27_02_R_190808120000.cfr.mp4,52:33.0,144,5s,144__16437_16455_16466,63060
37,DU,,,,,DU+DU,,,17218,5second/id_0037_track_17218_5s.png,27_02_R_190808120000.cfr.mp4,55:43.8,144,5s,144__17218,66876
38,DU,,x,x,,,,,17605,5second/id_0038_track_17605_5s.png,27_02_R_190808120000.cfr.mp4,57:47.6,144,5s,144__17605_17615_17684,69352
39,DU,,,,,,,,17741,5second/id_0039_track_17741_5s.png,27_02_R_190808120000.cfr.mp4,58:08.1,144,5s,144__17741,69762
40,D,,,,,,,,2770,5second/id_0040_track_02770_5s.png,28_02_R_190808130000.cfr.mp4,11:15.0,144,5s,144__2770,13500
41,U,,,,,,,,2874,5second/id_0041_track_02874_5s.png,28_02_R_190808130000.cfr.mp4,11:32.5,144,5s,144__2874,13850
42,D,,,,,stay_at_exit,,,2524,5second/id_0042_track_02524_5s.png,31_02_R_190808160000.cfr.mp4,06:46.6,144,5s,144__2524,8132
43,UD,x,,,True,,,False,9128,5second/id_0043_track_09128_5s.png,29_02_R_190808140000.cfr.mp4,33:40.8,168,5s,168__9128,40416
44,D,,,,,"U+D,gap",,,3789,5second/id_0044_track_03789_5s.png,27_02_R_190808120000.cfr.mp4,13:07.6,176,5s,176__3789,15752
45,UD,,x,,,,,,3904,5second/id_0045_track_03904_5s.png,27_02_R_190808120000.cfr.mp4,13:30.2,176,5s,176__3904_3939,16204
46,D,,,,True,,,True,6758,5second/id_0046_track_06758_5s.png,5_02_R_190807150000.cfr.mp4,23:54.0,186,5s,186__6758,28680
47,D,,,,,,,,1740,5second/id_0047_track_01740_5s.png,3_02_R_190807130000.cfr.mp4,08:22.5,187,5s,187__1740,10050
48,DU,,,,,stay_at_entrance,,,2475,5second/id_0048_track_02475_5s.png,3_02_R_190807130000.cfr.mp4,11:35.2,187,5s,187__2475,13904
49,DU,x,x,,,,,,2536,5second/id_0049_track_02536_5s.png,3_02_R_190807130000.cfr.mp4,11:53.5,187,5s,187__2536_2541,14270
50,DU,,,,,,,,5194,5second/id_0050_track_05194_5s.png,3_02_R_190807130000.cfr.mp4,32:07.3,187,5s,187__5194,38546
51,DU,,,,,,,,5613,5second/id_0051_track_05613_5s.png,3_02_R_190807130000.cfr.mp4,34:24.1,187,5s,187__5613,41282
52,D,,,,,stay_at_entrance,,,5731,5second/id_0052_track_05731_5s.png,3_02_R_190807130000.cfr.mp4,34:50.3,187,5s,187__5731,41806
53,DU,x,,,,,,True,6750,5second/id_0053_track_06750_5s.png,3_02_R_190807130000.cfr.mp4,38:13.7,187,5s,187__6750,45874
54,DU,,,,,interruption_on_ramp,merging helped here,,9099,5second/id_0054_track_09099_5s.png,3_02_R_190807130000.cfr.mp4,49:34.9,187,5s,187__9099,59498
55,U,,x,,True,,,True,9146,5second/id_0055_track_09146_5s.png,3_02_R_190807130000.cfr.mp4,49:52.0,187,5s,187__9146_9210_9226_9245,59840
56,DU,,,,,,,,10951,5second/id_0056_track_10951_5s.png,5_02_R_190807150000.cfr.mp4,38:17.2,187,5s,187__10951,45944
